,ტექსტი,ა,ბ,გ,დ,პასუხი,საკითხები
162,57 მმ = ...,5.7 დმ,5.7 × 10^-3 დმ,5.7 × 10^-2 მ,5.7 × 10^-4 მ,გ,UNITS-1.1
163,321 კმ = ...,3.21 × 10^9 დმ,3.21 × 10^4 მ,3.21 × 10^8 მმ,3.21 × 10^7 დმ,დ,UNITS-1.1
164,453 დმ = ...,4.53 × 10^-2 კმ,4.53 × 10^-1 კმ,4.53 × 10^6 მმ,4.53 × 10^3 სმ,დ,UNITS-1.1
165,154 მ = ...,1.54 × 10^4 მმ,1.54 × 10^5 სმ,1.54 × 10^-2 კმ,1.54 × 10^5 დმ,გ,UNITS-1.1
166,144 დმ = ...,1.44 × 10^-1 მ,1.44 × 10^3 მმ,1.44 × 10^1 მ,1.44 × 10^-5 კმ,გ,UNITS-1.1
167,162 მმ = ...,1.62 დმ,1.62 × 10^1 მ,1.62 × 10^-3 მ,1.62 × 10^-4 კმ,ა,UNITS-1.1
168,87 სმ = ...,8.7 × 10^-2 მ,8.7 × 10^3 მმ,8.7 მ,8.7 × 10^2 მმ,დ,UNITS-1.1
169,178 კმ = ...,1.78 × 10^7 მმ,1.78 × 10^6 მ,1.78 × 10^6 სმ,1.78 × 10^6 დმ,ბ,UNITS-1.1
170,50 კმ = ...,5 × 10^9 სმ,5 × 10^7 დმ,5 × 10^6 დმ,5 × 10^7 მმ,გ,UNITS-1.1
171,386 სმ = ...,3.86 × 10^-3 კმ,3.86 × 10^2 დმ,3.86 × 10^-5 კმ,3.86 მ,დ,UNITS-1.1
172,157 მ = ...,1.57 × 10^7 მმ,1.57 × 10^3 მმ,1.57 × 10^3 დმ,1.57 × 10^6 სმ,გ,UNITS-1.1
173,456 კმ = ...,4.56 × 10^5 დმ,4.56 × 10^9 სმ,4.56 × 10^7 დმ,4.56 × 10^6 დმ,გ,UNITS-1.1
174,6 მ = ...,6 × 10^2 მმ,6 × 10^-6 კმ,6 × 10^2 სმ,6 × 10^1 მმ,გ,UNITS-1.1
175,332 დმ = ...,3.32 × 10^-5 კმ,3.32 × 10^3 მ,3.32 × 10^3 სმ,3.32 × 10^3 მმ,გ,UNITS-1.1
176,203 სმ = ...,2.03 × 10^3 მმ,2.03 × 10^-5 კმ,2.03 × 10^-2 მ,2.03 × 10^3 დმ,ა,UNITS-1.1
177,421 დმ = ...,4.21 მ,4.21 × 10^1 მ,4.21 × 10^-2 კმ,4.21 × 10^4 სმ,ბ,UNITS-1.1
178,445 სმ = ...,4.45 × 10^1 დმ,4.45 × 10^-1 დმ,4.45 × 10^5 მმ,4.45 × 10^-1 მ,ა,UNITS-1.1
179,481 დმ = ...,4.81 × 10^5 სმ,4.81 × 10^-1 მ,4.81 × 10^4 მმ,4.81 × 10^3 მმ,გ,UNITS-1.1
180,159 კვადრატული მმ = ...,1.59 კვადრატული სმ,1.59 × 10^-4 კვადრატული დმ,1.59 × 10^-11 კვადრატული კმ,1.59 × 10^-1 კვადრატული დმ,ა,UNITS-1.2
181,174 კვადრატული მ = ...,1.74 × 10^-6 კვადრატული კმ,1.74 × 10^7 კვადრატული მმ,1.74 × 10^-4 კვადრატული კმ,1.74 × 10^-7 კვადრატული კმ,ა,UNITS-1.2
182,484 კვადრატული მმ = ...,4.84 კვადრატული დმ,4.84 × 10^-2 კვადრატული მ,4.84 კვადრატული სმ,4.84 × 10^-14 კვადრატული კმ,გ,UNITS-1.2
183,231 კვადრატული კმ = ...,2.31 × 10^12 კვადრატული სმ,2.31 × 10^12 კვადრატული მ,2.31 × 10^16 კვადრატული მმ,2.31 × 10^17 კვადრატული მმ,გ,UNITS-1.2
184,499 კვადრატული მმ = ...,4.99 × 10^-2 კვადრატული სმ,4.99 კვადრატული სმ,4.99 × 10^-3 კვადრატული მ,4.99 × 10^-4 კვადრატული დმ,ბ,UNITS-1.2
185,212 კვადრატული სმ = ...,2.12 × 10^-4 კვადრატული მ,2.12 კვადრატული დმ,2.12 × 10^1 კვადრატული დმ,2.12 × 10^-2 კვადრატული დმ,ბ,UNITS-1.2
186,136 კვადრატული კმ = ...,1.36 × 10^14 კვადრატული დმ,1.36 × 10^10 კვადრატული მ,1.36 × 10^9 კვადრატული მ,1.36 × 10^11 კვადრატული მ,ბ,UNITS-1.2
187,139 კვადრატული დმ = ...,1.39 × 10^8 კვადრატული მმ,1.39 × 10^1 კვადრატული მ,1.39 × 10^2 კვადრატული სმ,1.39 × 10^4 კვადრატული სმ,დ,UNITS-1.2
188,351 კვადრატული მ = ...,3.51 × 10^7 კვადრატული მმ,3.51 × 10^6 კვადრატული სმ,3.51 × 10^10 კვადრატული მმ,3.51 × 10^4 კვადრატული სმ,ბ,UNITS-1.2
189,246 კვადრატული მმ = ...,2.46 კვადრატული დმ,2.46 × 10^-1 კვადრატული დმ,2.46 × 10^-2 კვადრატული დმ,2.46 × 10^-14 კვადრატული კმ,გ,UNITS-1.2
190,266 კვადრატული მ = ...,2.66 × 10^-8 კვადრატული კმ,2.66 × 10^3 კვადრატული დმ,2.66 × 10^4 კვადრატული სმ,2.66 × 10^8 კვადრატული მმ,დ,UNITS-1.2
191,223 კვადრატული მმ = ...,2.23 × 10^1 კვადრატული სმ,2.23 × 10^-3 კვადრატული დმ,2.23 კვადრატული სმ,2.23 × 10^-11 კვადრატული კმ,გ,UNITS-1.2
192,301 კვადრატული მ = ...,3.01 × 10^8 კვადრატული მმ,3.01 × 10^3 კვადრატული დმ,3.01 × 10^6 კვადრატული მმ,3.01 × 10^7 კვადრატული სმ,ა,UNITS-1.2
193,157 კვადრატული სმ = ...,1.57 × 10^-1 კვადრატული დმ,1.57 × 10^-11 კვადრატული კმ,1.57 × 10^-10 კვადრატული კმ,1.57 × 10^2 კვადრატული დმ,გ,UNITS-1.2
194,401 კვადრატული მმ = ...,4.01 × 10^-4 კვადრატული მ,4.01 × 10^-13 კვადრატული კმ,4.01 × 10^-1 კვადრატული დმ,4.01 × 10^-10 კვადრატული კმ,ა,UNITS-1.2
195,309 კვადრატული მ = ...,3.09 × 10^-5 კვადრატული კმ,3.09 × 10^-6 კვადრატული კმ,3.09 × 10^-8 კვადრატული კმ,3.09 × 10^-7 კვადრატული კმ,ბ,UNITS-1.2
196,137 კვადრატული კმ = ...,1.37 × 10^14 კვადრატული დმ,1.37 × 10^12 კვადრატული სმ,1.37 × 10^15 კვადრატული სმ,1.37 × 10^14 კვადრატული სმ,დ,UNITS-1.2
197,221 კვადრატული სმ = ...,2.21 × 10^-4 კვადრატული მ,2.21 × 10^-2 კვადრატული დმ,2.21 × 10^-12 კვადრატული კმ,2.21 × 10^-10 კვადრატული კმ,დ,UNITS-1.2
198,394 კვადრატული კმ = ...,3.94 × 10^13 კვადრატული დმ,3.94 × 10^10 კვადრატული დმ,3.94 × 10^8 კვადრატული მ,3.94 × 10^12 კვადრატული დმ,დ,UNITS-1.2
199,418 კვადრატული სმ = ...,4.18 × 10^-9 კვადრატული კმ,4.18 კვადრატული დმ,4.18 × 10^-2 კვადრატული დმ,4.18 × 10^3 კვადრატული მმ,ბ,UNITS-1.2
200,69 ლიტრი = ...,6.9 × 10^-16 კუბური კმ,6.9 × 10^-12 კუბური კმ,6.9 × 10^2 კუბური დმ,6.9 × 10^4 კუბური სმ,დ,UNITS-1.3
201,84 კუბური მ = ...,8.4 × 10^8 კუბური მმ,8.4 × 10^-10 კუბური კმ,8.4 × 10^7 კუბური სმ,8.4 × 10^3 კუბური დმ,გ,UNITS-1.3
202,135 კუბური კმ = ...,1.35 × 10^17 კუბური დმ,1.35 × 10^15 კუბური მ,1.35 × 10^18 კუბური დმ,1.35 × 10^15 ლიტრი,ა,UNITS-1.3
203,4 კუბური მმ = ...,4 × 10^-1 კუბური სმ,4 × 10^-19 კუბური კმ,4 × 10^-10 კუბური მ,4 × 10^-3 კუბური სმ,დ,UNITS-1.3
204,37 კუბური კმ = ...,3.7 × 10^14 ლიტრი,3.7 × 10^19 კუბური სმ,3.7 × 10^17 ლიტრი,3.7 × 10^14 კუბური მ,ბ,UNITS-1.3
205,477 კუბური კმ = ...,4.77 × 10^17 ლიტრი,4.77 × 10^18 კუბური სმ,4.77 × 10^19 ლიტრი,4.77 × 10^15 ლიტრი,ა,UNITS-1.3
206,440 კუბური მ = ...,4.4 × 10^10 კუბური მმ,4.4 × 10^7 ლიტრი,4.4 × 10^10 კუბური სმ,4.4 × 10^8 კუბური სმ,დ,UNITS-1.3
207,208 კუბური დმ = ...,2.08 × 10^-1 კუბური მ,2.08 × 10^9 კუბური მმ,2.08 × 10^4 კუბური სმ,2.08 × 10^3 ლიტრი,ა,UNITS-1.3
208,65 კუბური კმ = ...,6.5 × 10^19 კუბური სმ,6.5 × 10^12 კუბური მ,6.5 × 10^14 ლიტრი,6.5 × 10^21 კუბური სმ,ა,UNITS-1.3
209,74 კუბური მ = ...,7.4 × 10^2 ლიტრი,7.4 × 10^-10 კუბური კმ,7.4 × 10^7 კუბური სმ,7.4 × 10^9 კუბური მმ,გ,UNITS-1.3
210,316 კუბური კმ = ...,3.16 × 10^16 კუბური დმ,3.16 × 10^19 კუბური დმ,3.16 × 10^17 კუბური დმ,3.16 × 10^24 კუბური მმ,გ,UNITS-1.3
211,15 კუბური სმ = ...,1.5 ლიტრი,1.5 × 10^4 კუბური მმ,1.5 × 10^-1 ლიტრი,1.5 × 10^-3 ლიტრი,ბ,UNITS-1.3
212,182 კუბური მ = ...,1.82 × 10^7 კუბური დმ,1.82 × 10^-10 კუბური კმ,1.82 × 10^-12 კუბური კმ,1.82 × 10^7 ლიტრი,ბ,UNITS-1.3
213,432 კუბური დმ = ...,4.32 × 10^2 ლიტრი,4.32 × 10^7 კუბური სმ,4.32 × 10^-15 კუბური კმ,4.32 × 10^7 კუბური მმ,ა,UNITS-1.3
214,106 კუბური მმ = ...,1.06 × 10^-1 კუბური სმ,1.06 × 10^1 კუბური სმ,1.06 × 10^-5 კუბური დმ,1.06 × 10^-21 კუბური კმ,ა,UNITS-1.3
215,46 ლიტრი = ...,4.6 × 10^-3 კუბური მ,4.6 × 10^4 კუბური სმ,4.6 × 10^3 კუბური დმ,4.6 კუბური დმ,ბ,UNITS-1.3
216,435 კუბური მმ = ...,4.35 × 10^-9 კუბური მ,4.35 × 10^-5 კუბური მ,4.35 × 10^-3 ლიტრი,4.35 × 10^-4 კუბური დმ,დ,UNITS-1.3
217,301 კუბური დმ = ...,3.01 × 10^1 კუბური მ,3.01 × 10^2 ლიტრი,3.01 × 10^6 კუბური სმ,3.01 × 10^3 კუბური სმ,ბ,UNITS-1.3
218,296 კუბური კმ = ...,2.96 × 10^14 კუბური მ,2.96 × 10^19 ლიტრი,2.96 × 10^21 კუბური მმ,2.96 × 10^15 ლიტრი,ა,UNITS-1.3
219,407 კუბური კმ = ...,4.07 × 10^25 კუბური მმ,4.07 × 10^21 კუბური მმ,4.07 × 10^17 ლიტრი,4.07 × 10^18 კუბური დმ,გ,UNITS-1.3
220,132 გრამი = ...,1.32 × 10^-4 ცენტნერი,1.32 × 10^-1 ცენტნერი,1.32 × 10^-2 ცენტნერი,1.32 × 10^-1 კილოგრამი,დ,UNITS-1.4
221,73 გრამი = ...,7.3 × 10^-4 ტონა,7.3 × 10^-4 კილოგრამი,7.3 × 10^-4 ცენტნერი,7.3 × 10^-6 ცენტნერი,გ,UNITS-1.4
222,45 გრამი = ...,4.5 × 10^-3 ტონა,4.5 × 10^-1 კილოგრამი,4.5 × 10^-2 ცენტნერი,4.5 × 10^-5 ტონა,დ,UNITS-1.4
223,226 ცენტნერი = ...,2.26 × 10^4 კილოგრამი,2.26 × 10^6 კილოგრამი,2.26 × 10^3 ტონა,2.26 × 10^9 გრამი,ა,UNITS-1.4
224,130 ტონა = ...,1.3 × 10^5 ცენტნერი,1.3 × 10^1 ცენტნერი,1.3 × 10^4 ცენტნერი,1.3 × 10^8 გრამი,დ,UNITS-1.4
225,243 კილოგრამი = ...,2.43 × 10^3 გრამი,2.43 × 10^-3 ტონა,2.43 × 10^-1 ცენტნერი,2.43 × 10^5 გრამი,დ,UNITS-1.4
226,372 ტონა = ...,3.72 × 10^10 გრამი,3.72 × 10^1 ცენტნერი,3.72 × 10^8 გრამი,3.72 × 10^4 ცენტნერი,გ,UNITS-1.4
227,454 გრამი = ...,4.54 × 10^-5 ცენტნერი,4.54 × 10^-1 კილოგრამი,4.54 × 10^-2 კილოგრამი,4.54 × 10^-3 ტონა,ბ,UNITS-1.4
228,97 გრამი = ...,9.7 × 10^-2 კილოგრამი,9.7 × 10^-6 ტონა,9.7 × 10^-3 კილოგრამი,9.7 × 10^-2 ცენტნერი,ა,UNITS-1.4
229,85 ტონა = ...,8.5 × 10^2 კილოგრამი,8.5 × 10^5 კილოგრამი,8.5 × 10^6 კილოგრამი,8.5 × 10^4 კილოგრამი,დ,UNITS-1.4
230,239 გრამი = ...,2.39 × 10^-2 ტონა,2.39 × 10^-4 ტონა,2.39 კილოგრამი,2.39 × 10^-2 კილოგრამი,ბ,UNITS-1.4
231,304 ცენტნერი = ...,3.04 × 10^7 გრამი,3.04 × 10^9 გრამი,3.04 × 10^8 გრამი,3.04 × 10^3 ტონა,ა,UNITS-1.4
232,286 კილოგრამი = ...,2.86 × 10^4 გრამი,2.86 × 10^1 ცენტნერი,2.86 × 10^5 გრამი,2.86 ტონა,გ,UNITS-1.4
233,185 ტონა = ...,1.85 × 10^10 გრამი,1.85 × 10^4 ცენტნერი,1.85 × 10^8 გრამი,1.85 × 10^6 კილოგრამი,გ,UNITS-1.4
234,217 ცენტნერი = ...,2.17 ტონა,2.17 × 10^5 კილოგრამი,2.17 × 10^4 კილოგრამი,2.17 × 10^5 გრამი,გ,UNITS-1.4
235,478 კილოგრამი = ...,4.78 ტონა,4.78 × 10^-1 ტონა,4.78 × 10^1 ტონა,4.78 × 10^3 გრამი,ბ,UNITS-1.4
236,288 ტონა = ...,2.88 × 10^3 ცენტნერი,2.88 × 10^5 ცენტნერი,2.88 × 10^4 კილოგრამი,2.88 × 10^7 კილოგრამი,ა,UNITS-1.4
237,142 ცენტნერი = ...,1.42 × 10^3 ტონა,1.42 × 10^5 კილოგრამი,1.42 × 10^4 კილოგრამი,1.42 × 10^9 გრამი,გ,UNITS-1.4
238,348 კილოგრამი = ...,3.48 ცენტნერი,3.48 × 10^7 გრამი,3.48 × 10^6 გრამი,3.48 × 10^-2 ცენტნერი,ა,UNITS-1.4
239,408 ცენტნერი = ...,4.08 × 10^6 გრამი,4.08 × 10^-1 ტონა,4.08 × 10^4 კილოგრამი,4.08 × 10^6 კილოგრამი,გ,UNITS-1.4
240,361 წუთი = ...,2.166 × 10^4 წამი,6.017 × 10^1 საათი,2.166 × 10^6 წამი,2.166 × 10^3 წამი,ა,UNITS-1.5
241,91 საათი = ...,3.276 × 10^3 წამი,5.46 × 10^2 წუთი,5.46 × 10^3 წუთი,5.46 × 10^1 წუთი,გ,UNITS-1.5
242,378 წუთი = ...,2.268 × 10^4 წამი,6.3 × 10^1 საათი,2.268 × 10^6 წამი,2.268 × 10^3 წამი,ა,UNITS-1.5
243,182 წუთი = ...,3.033 × 10^-1 საათი,1.092 × 10^3 წამი,1.092 × 10^6 წამი,3.033 საათი,დ,UNITS-1.5
244,376 წამი = ...,1.044 × 10^-1 საათი,6.267 × 10^2 წუთი,1.044 საათი,1.044 × 10^-2 საათი,ა,UNITS-1.5
245,395 წამი = ...,6.583 × 10^-2 წუთი,1.097 × 10^-2 საათი,6.583 × 10^1 წუთი,1.097 × 10^-1 საათი,დ,UNITS-1.5
246,233 წუთი = ...,1.398 × 10^2 წამი,3.883 × 10^2 საათი,3.883 × 10^-2 საათი,1.398 × 10^4 წამი,დ,UNITS-1.5
247,208 წამი = ...,5.778 × 10^-2 საათი,3.467 × 10^2 წუთი,3.467 × 10^1 წუთი,5.778 საათი,ა,UNITS-1.5
248,100 წამი = ...,1.667 წუთი,1.667 × 10^-2 წუთი,2.778 × 10^-4 საათი,1.667 × 10^-1 წუთი,ა,UNITS-1.5
249,49 საათი = ...,1.764 × 10^3 წამი,1.764 × 10^7 წამი,1.764 × 10^4 წამი,1.764 × 10^5 წამი,დ,UNITS-1.5
250,486 წუთი = ...,8.1 × 10^-1 საათი,2.916 × 10^3 წამი,8.1 × 10^-2 საათი,2.916 × 10^4 წამი,დ,UNITS-1.5
251,313 წუთი = ...,1.878 × 10^6 წამი,5.217 × 10^2 საათი,5.217 საათი,5.217 × 10^1 საათი,გ,UNITS-1.5
252,144 წამი = ...,4 × 10^-3 საათი,4 × 10^-1 საათი,2.4 წუთი,4 × 10^-4 საათი,გ,UNITS-1.5
253,271 საათი = ...,9.756 × 10^5 წამი,9.756 × 10^6 წამი,9.756 × 10^7 წამი,9.756 × 10^3 წამი,ა,UNITS-1.5
254,227 წუთი = ...,3.783 × 10^-2 საათი,1.362 × 10^6 წამი,1.362 × 10^4 წამი,3.783 × 10^-1 საათი,გ,UNITS-1.5
255,4 წამი = ...,6.667 × 10^-2 წუთი,6.667 × 10^-3 წუთი,1.111 × 10^-1 საათი,6.667 წუთი,ა,UNITS-1.5
256,293 წუთი = ...,4.883 × 10^-2 საათი,1.758 × 10^6 წამი,1.758 × 10^3 წამი,1.758 × 10^4 წამი,დ,UNITS-1.5
257,57 საათი = ...,2.052 × 10^3 წამი,2.052 × 10^6 წამი,2.052 × 10^4 წამი,2.052 × 10^5 წამი,დ,UNITS-1.5
258,489 წამი = ...,1.358 × 10^-1 საათი,8.15 × 10^-2 წუთი,8.15 × 10^-1 წუთი,1.358 × 10^1 საათი,ა,UNITS-1.5
259,396 წამი = ...,6.6 × 10^-2 წუთი,1.1 × 10^-1 საათი,1.1 საათი,6.6 × 10^1 წუთი,ბ,UNITS-1.5
260,საათი აჩვენებს 5 საათსა და 50 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,265.0,134.5,333.0,125.0,დ,"GEO2D-3.2, 2022-1, 2022-2"
261,საათი აჩვენებს 10 საათსა და 45 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,155.0,52.5,1.0,205.5,ბ,"GEO2D-3.2, 2022-1, 2022-2"
262,საათი აჩვენებს 4 საათსა და 55 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,80.5,177.5,135.0,64.0,ბ,"GEO2D-3.2, 2022-1, 2022-2"
263,საათი აჩვენებს 3 საათსა და 0 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,79.0,173.5,90.0,157.0,გ,"GEO2D-3.2, 2022-1, 2022-2"
264,საათი აჩვენებს 3 საათსა და 30 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,75.0,24.0,124.0,22.5,ა,"GEO2D-3.2, 2022-1, 2022-2"
265,საათი აჩვენებს 10 საათსა და 5 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,143.5,145.0,87.5,265.0,გ,"GEO2D-3.2, 2022-1, 2022-2"
266,საათი აჩვენებს 2 საათსა და 35 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,168.0,31.0,139.0,132.5,დ,"GEO2D-3.2, 2022-1, 2022-2"
267,საათი აჩვენებს 11 საათსა და 45 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,37.0,82.5,7.0,77.0,ბ,"GEO2D-3.2, 2022-1, 2022-2"
268,საათი აჩვენებს 8 საათსა და 15 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,133.5,157.5,69.5,319.0,ბ,"GEO2D-3.2, 2022-1, 2022-2"
269,საათი აჩვენებს 4 საათსა და 45 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,147.5,127.5,336.5,80.5,ბ,"GEO2D-3.2, 2022-1, 2022-2"
270,საათი აჩვენებს 12 საათსა და 20 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,110.0,98.5,347.0,88.5,ა,"GEO2D-3.2, 2022-1, 2022-2"
271,საათი აჩვენებს 8 საათსა და 45 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,7.5,37.5,299.0,342.0,ა,"GEO2D-3.2, 2022-1, 2022-2"
272,საათი აჩვენებს 11 საათსა და 20 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,140.0,167.0,150.5,315.0,ა,"GEO2D-3.2, 2022-1, 2022-2"
273,საათი აჩვენებს 12 საათსა და 25 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,167.0,137.5,17.5,97.0,ბ,"GEO2D-3.2, 2022-1, 2022-2"
274,საათი აჩვენებს 6 საათსა და 30 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,15.0,131.5,6.0,222.5,ა,"GEO2D-3.2, 2022-1, 2022-2"
275,საათი აჩვენებს 10 საათსა და 45 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,332.5,52.5,139.5,345.0,ბ,"GEO2D-3.2, 2022-1, 2022-2"
276,საათი აჩვენებს 5 საათსა და 20 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,236.5,198.5,40.0,296.0,გ,"GEO2D-3.2, 2022-1, 2022-2"
277,საათი აჩვენებს 10 საათსა და 35 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,172.0,160.0,107.5,228.5,გ,"GEO2D-3.2, 2022-1, 2022-2"
278,საათი აჩვენებს 3 საათსა და 55 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,173.5,99.5,147.5,264.5,გ,"GEO2D-3.2, 2022-1, 2022-2"
279,საათი აჩვენებს 4 საათსა და 20 წუთს. იპოვეთ კუთხის სიდიდე წუთებისა და საათების ისრებს შორის.,11.0,208.5,349.0,10.0,დ,"GEO2D-3.2, 2022-1, 2022-2"
280,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 0.4 სმ, რომლის სიმაღლეა 0.2 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",ბლაგვი,მართი,მახვილი,არც ერთი,ბ,"GEO2D-3.3, GEO2D-12.1"
281,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 10.6 სმ, რომლის სიმაღლეა 4.5 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",არც ერთი,მართი,ბლაგვი,მახვილი,გ,"GEO2D-3.3, GEO2D-12.1"
282,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 23.5 სმ, რომლის სიმაღლეა 0.4 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",მახვილი,მართი,არც ერთი,ბლაგვი,დ,"GEO2D-3.3, GEO2D-12.1"
283,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 24.7 სმ, რომლის სიმაღლეა 6.4 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",მართი,არც ერთი,მახვილი,ბლაგვი,დ,"GEO2D-3.3, GEO2D-12.1"
284,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 22.9 სმ, რომლის სიმაღლეა 4.4 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",მართი,ბლაგვი,მახვილი,არც ერთი,ბ,"GEO2D-3.3, GEO2D-12.1"
285,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 4.7 სმ, რომლის სიმაღლეა 14.5 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",მართი,ბლაგვი,არც ერთი,მახვილი,დ,"GEO2D-3.3, GEO2D-12.1"
286,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 15.4 სმ, რომლის სიმაღლეა 8.2 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",არც ერთი,ბლაგვი,მახვილი,მართი,გ,"GEO2D-3.3, GEO2D-12.1"
287,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 7.8 სმ, რომლის სიმაღლეა 7.1 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",არც ერთი,მახვილი,ბლაგვი,მართი,ბ,"GEO2D-3.3, GEO2D-12.1"
288,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 12.7 სმ, რომლის სიმაღლეა 14.3 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",არც ერთი,მახვილი,მართი,ბლაგვი,ბ,"GEO2D-3.3, GEO2D-12.1"
289,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 10.9 სმ, რომლის სიმაღლეა 0.3 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",არც ერთი,მართი,ბლაგვი,მახვილი,გ,"GEO2D-3.3, GEO2D-12.1"
290,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 10.4 სმ, რომლის სიმაღლეა 14.4 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",არც ერთი,მართი,ბლაგვი,მახვილი,დ,"GEO2D-3.3, GEO2D-12.1"
291,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 2.4 სმ, რომლის სიმაღლეა 11.6 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",არც ერთი,მართი,მახვილი,ბლაგვი,გ,"GEO2D-3.3, GEO2D-12.1"
292,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 3.4 სმ, რომლის სიმაღლეა 0.6 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",მახვილი,არც ერთი,ბლაგვი,მართი,გ,"GEO2D-3.3, GEO2D-12.1"
293,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 14.6 სმ, რომლის სიმაღლეა 7.3 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",ბლაგვი,არც ერთი,მახვილი,მართი,დ,"GEO2D-3.3, GEO2D-12.1"
294,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 13.2 სმ, რომლის სიმაღლეა 2.1 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",ბლაგვი,მართი,მახვილი,არც ერთი,ა,"GEO2D-3.3, GEO2D-12.1"
295,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 2.7 სმ, რომლის სიმაღლეა 1.4 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",მახვილი,მართი,ბლაგვი,არც ერთი,ა,"GEO2D-3.3, GEO2D-12.1"
296,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 7.2 სმ, რომლის სიმაღლეა 13.2 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",ბლაგვი,მახვილი,მართი,არც ერთი,ბ,"GEO2D-3.3, GEO2D-12.1"
297,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 11.6 სმ, რომლის სიმაღლეა 5.8 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",ბლაგვი,მახვილი,მართი,არც ერთი,გ,"GEO2D-3.3, GEO2D-12.1"
298,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 20.8 სმ, რომლის სიმაღლეა 10.4 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",ბლაგვი,მახვილი,მართი,არც ერთი,გ,"GEO2D-3.3, GEO2D-12.1"
299,"მოცემულია ტოლფერდა სამკუთხედი ფუძით 21.0 სმ, რომლის სიმაღლეა 10.5 სმ. როგორია ფუძის საპირისპიროდ მდებარე კუთხე?",ბლაგვი,არც ერთი,მახვილი,მართი,დ,"GEO2D-3.3, GEO2D-12.1"
